quality,bits,intra_parts,skip_parts,inter_16x16_parts,inter_4x4_parts,inter_other_parts,non_zero_pixels,frame_width,frame_height,movement_level,mean,sub_mean_1,sub_mean_2,sub_mean_3,sub_mean_4,var_sub_blocks,sobel_h,sobel_v,variance,block_movement_h,block_movement_v,var_movement_h,var_movement_v,cost_1,cost_2,relevant
22,1840,0,0,2,9,6,417,416,240,48826,5.201172,4.980469,2.796875,6.933594,6.093750,2.406834,14.304688,12.078125,61.963436,2.187500,3.796875,4.058594,11.193115,5401.000000,5368.000000,1
22,2369,16,0,0,9,18,372,416,240,48826,9.843750,11.039062,5.183594,17.007812,6.144531,22.038452,24.213867,31.659180,338.346680,0.968750,3.710938,10.842773,152.439880,20631.000000,20725.000000,1
22,841,0,1,0,9,10,135,416,240,48826,2.343750,6.179688,2.117188,0.171875,0.906250,5.387299,7.169922,8.544922,47.938477,0.242188,1.796875,0.511658,10.099365,18928.000000,19191.000000,1
22,794,0,0,1,15,7,140,416,240,48826,2.080078,0.312500,2.093750,1.156250,4.757812,2.787060,5.553711,6.942383,19.423275,0.351562,2.570312,0.290466,15.573181,15269.000000,15247.000000,1
22,635,0,1,0,18,5,108,416,240,48826,1.598633,0.300781,1.683594,1.550781,2.859375,0.820849,3.154297,5.105469,32.580116,0.718750,2.117188,2.264648,19.806580,6116.000000,9270.000000,1
22,1637,0,0,1,9,16,329,416,240,48826,4.509766,5.730469,5.375000,1.898438,5.035156,2.333454,12.116211,11.311523,33.552639,2.468750,1.679688,12.295898,5.873962,17732.000000,18808.000000,1
22,740,0,1,0,9,8,142,416,240,48826,1.721680,0.000000,2.765625,0.558594,3.562500,2.198848,5.579102,5.196289,14.069999,1.976562,1.898438,6.694763,5.794373,10804.000000,11925.000000,1
22,503,0,1,1,6,8,83,416,240,48826,1.028320,1.425781,2.687500,0.000000,0.000000,1.256434,3.637695,3.502930,10.750175,1.226562,1.609375,2.784607,4.706787,15392.000000,15358.000000,0
22,27,0,2,2,0,0,0,416,240,48826,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.035156,0.011719,0.000000,0.625000,1.125000,1.234375,3.859375,2547.000000,2571.000000,1
22,473,0,1,1,9,6,92,416,240,48826,1.134766,2.613281,0.000000,1.925781,0.000000,1.346775,3.645508,2.916992,6.540432,0.125000,1.562500,0.234375,4.496094,9443.000000,9634.000000,1
22,1284,0,0,1,6,11,277,416,240,48826,3.665039,4.578125,4.621094,3.027344,2.433594,0.917720,10.122070,10.643555,21.716904,0.531250,2.421875,0.405273,6.056396,12635.000000,12092.000000,1
22,1331,0,0,0,6,19,247,416,240,48826,3.420898,1.671875,5.019531,3.820312,3.171875,1.459064,9.233398,9.727539,39.482025,1.421875,2.843750,2.181396,8.319336,18500.000000,16032.000000,1
22,987,0,0,1,0,14,171,416,240,48826,2.626953,4.507812,3.156250,2.433594,0.410156,2.192341,6.706055,7.981445,51.362789,4.265625,2.031250,22.851318,5.092773,13612.000000,14681.000000,1
22,1221,0,0,2,6,6,238,416,240,48826,3.261719,1.921875,1.101562,4.335938,5.687500,3.374954,9.303711,9.631836,27.343613,3.140625,2.015625,6.667725,2.890381,5489.000000,6086.000000,1
22,647,0,0,1,6,13,105,416,240,48826,1.306641,1.187500,1.492188,0.515625,2.031250,0.299847,4.569336,5.161133,12.103237,2.109375,3.640625,8.894287,132.995850,4473.000000,4735.000000,1
